Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (14ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (5ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_9_CAR.30' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=33097.50.
Warning: Vehicle 'f_1_9_CAR.35' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=33239.88.
Warning: Vehicle 'f_1_9_CAR.101' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=34704.28.
Warning: Vehicle 'f_1_9_CAR.109' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=34924.84.
Warning: Vehicle 'f_1_10_CAR.30' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=36482.12.
Warning: Vehicle 'f_5_10_CAR.10' performs emergency braking on lane '1076383725.80_0' with decel=9.00, wished=4.50, severity=1.00, time=36870.00.
Warning: Vehicle 'f_1_10_CAR.146' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=38156.70.
Warning: Vehicle 'f_1_10_CAR.213' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=39095.72.
Warning: Vehicle 'f_1_10_CAR.224' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=39253.50.
Warning: Vehicle 'f_1_11_CAR.11' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=39789.96.
Warning: Vehicle 'f_2_11_CAR.124' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=41994.00.
Warning: Vehicle 'f_1_11_CAR.162' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=42169.82.
Warning: Vehicle 'f_1_11_TAXI.8' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=42820.26.
Warning: Vehicle 'f_1_12_CAR.23' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=43566.50.
Warning: Vehicle 'f_2_12_CAR.27' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=43842.00.
Warning: Vehicle 'f_1_12_CAR.167' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=45711.44.
Warning: Vehicle 'f_2_12_CAR.114' performs emergency braking on lane ':cluster9883633497_cluster_25353129_33471551_cluster_26272655_288063291_29500569_5064338396_#2more_9_0' with decel=9.00, wished=4.50, severity=1.00, time=45889.28.
Warning: Vehicle 'f_1_12_CAR.189' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=46041.26.
Warning: Vehicle 'f_1_13_TAXI.1' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=47120.12.
Warning: Vehicle 'f_10_13_CAR.17' performs emergency braking on lane 'E1_0' with decel=9.00, wished=4.50, severity=1.00, time=49045.82.
Warning: Vehicle 'f_1_13_CAR.116' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=49274.42.
Warning: Vehicle 'f_5_13_CAR.16' performs emergency braking on lane '1076383725.80_0' with decel=9.00, wished=4.50, severity=1.00, time=49806.00.
Simulation ended at time: 50849.34
Reason: All vehicles have left the simulation.
Performance: 
 Duration: 2936.50s
 Real time factor: 17.3163
 UPS: 257168.354787
Vehicles: 
 Inserted: 120961 (Loaded: 125347)
 Running: 0
 Waiting: 0

