Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (11ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (2ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_9_CAR.92' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34528.70.
Warning: Vehicle 'f_1_9_TAXI.7' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34537.20.
Warning: Vehicle 'f_2_9_TRUCK.8' performs emergency braking on lane '1078018164_0' with decel=7.00, wished=4.00, severity=1.00, time=34557.00.
Warning: Vehicle 'f_1_9_CAR.97' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34662.66.
Warning: Vehicle 'f_1_9_CAR.98' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34671.68.
Warning: Vehicle 'f_1_9_CAR.99' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34689.76.
Warning: Vehicle 'f_1_9_CAR.100' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34696.44.
Warning: Vehicle 'f_1_9_CAR.104' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34815.72.
Warning: Vehicle 'f_1_9_TAXI.8' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34840.78.
Warning: Vehicle 'f_1_9_CAR.111' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34970.84.
Warning: Vehicle 'f_1_9_CAR.112' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34988.62.
Warning: Vehicle 'f_1_9_CAR.112' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34989.50.
Warning: Vehicle 'f_1_9_CAR.113' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34995.52.
Warning: Vehicle 'f_1_9_CAR.114' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=35002.78.
